Generacion,Mejor individuo,Mejor Fitness
129,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
130,[0.04706567 0.1051438  0.39843383 0.17009678 0.22136441 0.06695788],-0.6507580905607548
131,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
132,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
133,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
134,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
135,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
136,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
137,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
138,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
139,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
140,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
141,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
142,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
143,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
144,[0.02472935 0.08369371 0.38563739 0.07218968 0.3721129  0.06486594],-0.6514185533521196
145,[0.02472935 0.08278288 0.38563739 0.07140392 0.3721129  0.06486594],-0.6514509292141732
146,[0.02472935 0.08278288 0.38563739 0.07140392 0.3721129  0.06486594],-0.6514509292141732
147,[0.02472935 0.08278288 0.38563739 0.07140392 0.3721129  0.06486594],-0.6514509292141732
148,[0.02472935 0.08278288 0.38563739 0.07140392 0.3721129  0.06486594],-0.6514509292141732
149,[0.02610131 0.13191585 0.39683951 0.11799255 0.25478706 0.06826252],-0.6524595278299525
150,[0.02610131 0.13191585 0.39683951 0.11799255 0.25478706 0.06826252],-0.6524595278299525
151,[0.02844179 0.13025946 0.39675189 0.13245715 0.25230653 0.06821677],-0.6527912698811551
152,[0.02844179 0.13025946 0.39675189 0.13245715 0.25230653 0.06821677],-0.6527912698811551
153,[0.02844179 0.13025946 0.39675189 0.13245715 0.25230653 0.06821677],-0.6527912698811551
154,[0.02844179 0.13025946 0.39675189 0.13245715 0.25230653 0.06821677],-0.6527912698811551
