Generacion,Mejor individuo,Mejor Fitness,Violaciones
110,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
111,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
112,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
113,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
114,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
115,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
116,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
117,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
118,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
119,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
120,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
121,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
122,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
123,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
124,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
125,[0.01217156 0.15972149 0.39642824 0.20921689 0.13865312 0.0877783 ],-0.659092175219235,0
126,[0.01217156 0.15972149 0.39818947 0.20921689 0.13865312 0.0877783 ],-0.6591449370797705,0
127,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
128,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
129,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
130,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
131,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
132,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
133,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
134,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
135,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
136,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
137,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
138,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
139,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
140,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
141,[0.01134603 0.15921602 0.39768736 0.21297279 0.13804302 0.08520737],-0.6603752881138837,0
